2024-12-20 08:56:20,105 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3427b02d: startup date [Fri Dec 20 08:56:20 CET 2024]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2024-12-20 08:56:20,519 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/ztg4419/Téléchargements/Intergiciel/jms-subject/apache-activemq-5.14.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2024-12-20 08:56:20,842 | INFO  | PListStore:[/home/ztg4419/Téléchargements/Intergiciel/jms-subject/apache-activemq-5.14.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2024-12-20 08:56:20,963 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:pikachu.enseeiht.fr-41043-1734681380846-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2024-12-20 08:56:20,975 | INFO  | Listening for connections at: tcp://pikachu.enseeiht.fr:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-20 08:56:20,976 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2024-12-20 08:56:20,978 | INFO  | Listening for connections at: amqp://pikachu.enseeiht.fr:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-20 08:56:20,978 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2024-12-20 08:56:20,980 | INFO  | Listening for connections at: stomp://pikachu.enseeiht.fr:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-20 08:56:20,980 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2024-12-20 08:56:20,981 | INFO  | Listening for connections at: mqtt://pikachu.enseeiht.fr:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-20 08:56:20,982 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2024-12-20 08:56:21,047 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7d151a{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2024-12-20 08:56:21,091 | INFO  | Listening for connections at ws://pikachu.enseeiht.fr:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2024-12-20 08:56:21,093 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2024-12-20 08:56:21,094 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:pikachu.enseeiht.fr-41043-1734681380846-0:1) started | org.apache.activemq.broker.BrokerService | main
2024-12-20 08:56:21,094 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2024-12-20 08:56:21,298 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2024-12-20 08:56:21,355 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2024-12-20 08:56:21,356 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2024-12-20 08:56:21,398 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2024-12-20 08:56:21,489 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2024-12-20 08:56:21,512 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2024-12-20 09:35:48,733 | WARN  | Transport Connection to: tcp://127.0.0.1:55434 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55434@61616
2024-12-20 09:35:50,474 | WARN  | Transport Connection to: tcp://127.0.0.1:55432 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55432@61616
2024-12-20 09:53:29,658 | WARN  | Transport Connection to: tcp://127.0.0.1:55438 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55438@61616
2024-12-20 09:53:38,158 | WARN  | Transport Connection to: tcp://127.0.0.1:55440 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55440@61616
